GroupID,PROG_ID,Note,z,GroupSize,file,srcid,ra,dec,grating,filter,effexptm,nfiles,dataset,msamet,msaid,msacnf,dithn,slitid,root,npix,ndet,wmin,wmax,wmaxsn,sn10,flux10,err10,sn50,flux50,err50,sn90,flux90,err90,xstart,ystart,xsize,ysize,slit_pa,pa_v3,srcypix,profcen,profsig,ctime,version,exptime
14689,JADES-GN-38184,,5.04748,20,jades-gdn-v3_g395h-f290lp_1181_38184.spec.fits,38184,189.2128062,62.1486365,G395H,F290LP,1021.222,3,jw01181098001_21101_00001_nrs2,jw01181098001_04_msa.fits,675,4,1,553,jades-gdn-v3,1979,1,2.8801086,4.1347256,3.0240915,-0.5293612,-0.14095043,0.2099212,1.0795876,0.28167778,0.25924256,2.9088976,0.76066583,0.33803067,119,1640,1930,45,0.0,133.25143,0.0,0.001,0.53126705,1716584202.763,0.8.5.dev7+g25edcb0,3063.666
14689,JADES-GN-38184,,5.04748,20,jades-gdn-v3_g235m-f170lp_1181_38184.spec.fits,38184,189.2128062,62.1486365,G235M,F170LP,1021.222,3,jw01181098001_17101_00001_nrs2,jw01181098001_04_msa.fits,673,4,1,553,jades-gdn-v3,1437,1,1.7003809,3.150057,3.024876,-0.13923869,-0.02060799,0.10334173,1.6330286,0.21582912,0.13322718,3.4015203,0.46373212,0.19584943,1,1633,1427,34,0.0,133.25153,0.0,0.001,0.53126705,1716584206.361,0.8.5.dev7+g25edcb0,3063.666
17934,JADES-GS-12438,,5.0074925,16,jades-gds-wide-v3_g140m-f070lp_1180_12438.spec.fits,12438,53.1313319,-27.76457800000003,G140M,F070LP,1021.222,6,jw01180027001_13101_00001_nrs1,jw01180027001_04_msa.fits,530,4,1,594,jades-gds-wide-v3,767,1,0.7004,1.2596,1.0814,-0.7134912,-0.12494519,0.109776676,0.9374957,0.15883273,0.16595538,2.6460478,0.7806204,0.576028,1395,697,654,25,0.0,308.07986,0.0,0.001,0.734415,1716607306.786,0.8.5.dev7+g25edcb0,6127.332
17934,JADES-GS-12438,,5.0074925,16,jades-gds-wide-v3_g395m-f290lp_1180_12438.spec.fits,12438,53.1313319,-27.76457800000003,G395M,F290LP,1021.222,6,jw01180027001_17101_00001_nrs2,jw01180027001_04_msa.fits,725,4,1,594,jades-gds-wide-v3,1198,1,2.8794382,5.199619,2.8811429,-1.3493106,-0.3444337,0.12909892,0.331153,0.06597072,0.19001277,2.0840414,0.43002915,0.44345742,1,685,1112,28,0.0,308.07977,0.0,0.001,0.734415,1716607297.9,0.8.5.dev7+g25edcb0,6127.332
17934,JADES-GS-12438,,5.0074925,16,jades-gds-wide-v3_g235m-f170lp_1180_12438.spec.fits,12438,53.1313319,-27.76457800000003,G235M,F170LP,1021.222,6,jw01180027001_15101_00001_nrs2,jw01180027001_04_msa.fits,724,4,1,594,jades-gds-wide-v3,1272,1,1.7003809,3.150057,1.7114857,-0.8073133,-0.17434677,0.13351594,0.8909287,0.15502797,0.17768887,2.555737,0.48654047,0.2690659,1,698,1107,28,0.0,308.07983,0.0,0.001,0.734415,1716607293.113,0.8.5.dev7+g25edcb0,6127.332
18020,JADES-GS-16167,,5.940189,16,jades-gds-wide-v3_g235m-f170lp_1180_16167.spec.fits,16167,53.1124743,-27.80625309999999,G235M,F170LP,1021.222,3,jw01180027001_15101_00001_nrs1,jw01180027001_04_msa.fits,724,4,1,694,jades-gds-wide-v3,1437,1,1.7003809,3.150057,2.9219048,-1.5785824,-0.22442691,0.1030593,0.23914509,0.03062749,0.1296834,1.9996089,0.28118065,0.19156949,413,30,1430,32,0.0,308.07983,0.0,-0.0009999999,0.8604002,1716603442.903,0.8.5.dev7+g25edcb0,3063.666
18020,JADES-GS-16167,,5.940189,16,jades-gds-wide-v3_g140m-f070lp_1180_16167.spec.fits,16167,53.1124743,-27.80625309999999,G140M,F070LP,1021.222,3,jw01180027001_13101_00001_nrs1,jw01180027001_04_msa.fits,530,4,1,694,jades-gds-wide-v3,886,1,0.7292,1.2602,1.2116,-1.6144353,-0.20897192,0.089654766,0.23036589,0.029521279,0.11319543,1.991179,0.28882807,0.24852556,1,34,860,33,0.0,308.07986,0.0,0.001,0.8604002,1716603446.895,0.8.5.dev7+g25edcb0,3063.666
18020,JADES-GS-16167,,5.940189,16,jades-gds-wide-v3_g395m-f290lp_1180_16167.spec.fits,16167,53.1124743,-27.80625309999999,G395M,F290LP,1021.222,3,jw01180027001_17101_00001_nrs1,jw01180027001_04_msa.fits,725,4,1,694,jades-gds-wide-v3,1362,1,2.8794382,5.199619,3.3482475,-1.6821343,-0.26061705,0.08294804,0.24630442,0.031392608,0.124905504,2.1102388,0.30915835,0.2993139,496,16,1353,32,0.0,308.07977,0.0,-0.001,0.8604002,1716603438.546,0.8.5.dev7+g25edcb0,3063.666
18896,AURORA-GN-100159,,7.042805,6,aurora-gdn02-v3_g140m-f100lp_1914_100159.spec.fits,100159,189.13760362191834,62.26519926859139,G140M,F100LP,7294.445,12,jw01914002001_03101_00001_nrs1,jw01914002001_01_msa.fits,1,1,1,27,aurora-gdn02-v3,1336,1,0.98,1.88,1.6298,-0.6245206,-0.012152236,0.011273177,1.520856,0.025122037,0.016173298,3.707276,0.06285397,0.026959114,1503,411,546,24,0.0,291.1106,0.0,0.001,0.40716758,1735666827.497,0.9.2.dev1+g8ebd90e,87533.34
18896,AURORA-GN-100159,,7.042805,6,aurora-gdn02-v3_g395m-f290lp_1914_100159.spec.fits,100159,189.13760362191834,62.26519926859139,G395M,F290LP,2480.111,12,jw01914002002_03101_00001_nrs1,jw01914002002_01_msa.fits,1,1,1,27,aurora-gdn02-v3,1202,1,2.8794382,5.199619,4.026743,-0.7082282,-0.049062893,0.029198548,0.7672109,0.04023398,0.05567555,2.5942626,0.14653403,0.1251785,1627,398,422,24,0.0,291.108,0.0,0.001,0.40716758,1735666822.306,0.9.2.dev1+g8ebd90e,29761.332
